year,month,day,date,latitude,longitude,zon_winds,mer_winds,humidity,air_temp,ss_temp
80,3,7,800307,-0.02,-109.46,-6.8,0.7,,26.14,26.24
80,3,8,800308,-0.02,-109.46,-4.9,1.1,,25.66,25.97
80,3,9,800309,-0.02,-109.46,-4.5,2.2,,25.69,25.28
80,3,10,800310,-0.02,-109.46,-3.8,1.9,,25.57,24.31
80,3,11,800311,-0.02,-109.46,-4.2,1.5,,25.3,23.19
80,3,12,800312,-0.02,-109.46,-4.4,0.3,,24.72,23.64
80,3,13,800313,-0.02,-109.46,-3.2,0.1,,24.66,24.34
80,3,14,800314,-0.02,-109.46,-3.1,0.6,,25.17,24.14
80,3,15,800315,-0.02,-109.46,-3.0,1.0,,25.59,24.24
80,3,16,800316,-0.02,-109.46,-1.2,1.0,,26.71,25.94
80,3,17,800317,-0.02,-109.46,-0.1,0.7,,27.28,26.65
80,3,18,800318,-0.02,-109.46,-1.2,2.3,,26.86,27.13
80,3,19,800319,-0.02,-109.46,-4.1,-0.3,,26.38,26.35
80,3,20,800320,-0.02,-109.46,-4.8,-0.8,,26.19,25.87
80,3,21,800321,-0.02,-109.46,-5.2,2.0,,26.08,25.38
80,3,22,800322,-0.02,-109.46,-2.7,2.7,,26.24,
80,3,23,800323,-0.02,-109.46,-4.4,1.1,,26.05,
80,3,24,800324,-0.02,-109.46,-4.3,0.7,,25.67,
80,3,25,800325,-0.02,-109.46,-3.8,0.5,,25.39,
80,3,26,800326,-0.02,-109.46,-3.0,0.2,,25.17,
80,3,27,800327,-0.02,-109.46,-3.2,-0.2,,25.25,
80,3,28,800328,-0.02,-109.46,-1.9,0.7,,25.35,
80,3,29,800329,-0.02,-109.46,-0.8,0.3,,26.13,
80,8,11,800811,0.0,-109.56,-3.3,1.5,,21.48,21.81
80,8,12,800812,0.0,-109.56,-3.5,0.8,,21.27,21.58
80,8,13,800813,0.0,-109.56,-4.9,1.9,,21.11,21.32
80,8,14,800814,0.0,-109.56,-1.2,2.1,,20.95,21.19
80,8,15,800815,0.0,-109.56,-1.2,2.7,,21.76,21.47
80,8,16,800816,0.0,-109.56,-1.9,2.7,,22.11,21.89
80,8,17,800817,0.0,-109.56,-4.2,0.7,,21.69,21.85
80,8,18,800818,0.0,-109.56,-4.3,0.6,,21.58,21.74
80,8,19,800819,0.0,-109.56,-5.1,1.4,,21.45,21.7
80,8,20,800820,0.0,-109.56,-3.5,2.1,,21.48,21.75
80,8,21,800821,0.0,-109.56,-4.9,2.0,,21.61,21.7
80,8,22,800822,0.0,-109.56,-4.3,2.5,,21.88,22.07
80,8,23,800823,0.0,-109.56,-7.2,3.7,,22.07,22.32
80,8,24,800824,0.0,-109.56,-6.8,2.8,,21.69,21.91
80,8,25,800825,0.0,-109.56,-5.1,3.3,,21.83,21.96
80,8,26,800826,0.0,-109.56,-4.5,3.8,,22.04,22.25
80,8,27,800827,0.0,-109.56,-3.8,3.7,,22.36,22.61
80,8,28,800828,0.0,-109.56,-3.9,3.3,,22.51,22.69
80,8,29,800829,0.0,-109.56,-5.0,2.4,,22.45,23.08
80,8,30,800830,0.0,-109.56,-5.9,3.7,,23.0,24.55
80,8,31,800831,0.0,-109.56,-6.2,5.1,,23.12,24.79
80,9,1,800901,0.0,-109.56,-6.2,3.8,,22.67,24.04
80,9,2,800902,0.0,-109.56,-5.4,2.7,,22.08,23.0
80,9,3,800903,0.0,-109.56,-4.2,3.0,,21.76,22.16
80,9,4,800904,0.0,-109.56,-3.7,1.7,,21.9,21.85
80,9,5,800905,0.0,-109.56,-4.5,3.0,,21.72,21.61
80,9,6,800906,0.0,-109.56,-4.1,2.4,,21.84,21.52
80,9,7,800907,0.0,-109.56,-4.5,3.0,,21.76,21.69
80,9,8,800908,0.0,-109.56,-4.1,3.5,,21.95,21.8
80,9,9,800909,0.0,-109.56,-4.7,3.8,,22.03,21.88
80,9,10,800910,0.0,-109.56,-4.4,2.6,,22.03,22.09
80,9,11,800911,0.0,-109.56,-2.7,3.6,,21.97,22.11
80,9,12,800912,0.0,-109.56,-3.6,4.2,,21.97,22.0
80,9,13,800913,0.0,-109.56,-4.4,3.7,,21.75,21.88
80,9,14,800914,0.0,-109.56,-3.3,2.5,,21.89,21.93
80,9,15,800915,0.0,-109.56,-2.8,3.2,,22.0,22.24
80,9,16,800916,0.0,-109.56,-1.4,3.8,,22.33,22.59
80,9,17,800917,0.0,-109.56,-2.8,5.3,,22.72,23.32
80,9,18,800918,0.0,-109.56,-4.7,5.2,,22.93,23.13
80,9,19,800919,0.0,-109.56,-4.0,4.4,,22.47,23.36
80,9,20,800920,0.0,-109.56,-6.0,4.2,,22.92,23.69
80,9,21,800921,0.0,-109.56,-5.6,3.4,,22.5,23.6
80,9,22,800922,0.0,-109.56,-5.3,4.6,,22.7,24.11
80,9,23,800923,0.0,-109.56,-5.1,3.9,,22.68,24.28
80,9,24,800924,0.0,-109.56,-4.5,3.3,,22.58,23.77
80,9,25,800925,0.0,-109.56,-3.3,2.7,,22.32,22.87
80,9,26,800926,0.0,-109.56,-2.6,3.7,,21.81,22.05
80,9,27,800927,0.0,-109.56,-4.3,1.3,,21.91,21.81
80,9,28,800928,0.0,-109.56,-4.0,1.3,,21.81,21.71
80,9,29,800929,0.0,-109.56,-4.0,1.8,,21.96,22.07
80,9,30,800930,0.0,-109.56,-4.9,2.3,,22.05,22.38
80,10,1,801001,0.0,-109.56,-4.4,3.4,,22.45,22.44
80,10,2,801002,0.0,-109.56,-4.8,4.2,,22.32,22.16
80,10,3,801003,0.0,-109.56,-5.8,4.0,,21.94,21.88
80,10,4,801004,0.0,-109.56,-4.1,2.5,,21.53,21.66
80,10,5,801005,0.0,-109.56,-3.2,2.4,,21.28,21.42
80,10,6,801006,0.0,-109.56,-3.2,3.2,,21.12,21.17
80,10,7,801007,0.0,-109.56,-2.2,2.8,,21.08,21.2
80,10,8,801008,0.0,-109.56,-2.7,2.7,,21.02,20.97
80,10,9,801009,0.0,-109.56,-3.7,2.2,,20.65,20.71
80,10,10,801010,0.0,-109.56,-3.5,1.1,,20.71,20.74
80,10,11,801011,0.0,-109.56,-4.2,1.2,,20.54,20.72
80,10,12,801012,0.0,-109.56,-2.8,-0.3,,20.45,20.51
80,10,13,801013,0.0,-109.56,-3.7,0.1,,20.52,20.71
80,10,14,801014,0.0,-109.56,-2.9,0.4,,20.42,20.52
80,10,15,801015,0.0,-109.56,-1.5,-0.4,,20.73,20.62
80,10,16,801016,0.0,-109.56,-2.3,1.6,,20.62,20.47
80,10,17,801017,0.0,-109.56,-2.1,0.1,,20.84,20.59
80,10,18,801018,0.0,-109.56,-2.0,1.3,,20.92,20.73
80,10,19,801019,0.0,-109.56,-2.6,0.9,,21.23,21.07
80,10,20,801020,0.0,-109.56,-3.8,0.1,,21.19,21.08
80,10,21,801021,0.0,-109.56,-5.3,1.9,,21.2,21.18
80,10,22,801022,0.0,-109.56,-4.9,3.0,,21.45,21.36
80,10,23,801023,0.0,-109.56,-5.3,2.3,,21.5,21.46
80,10,24,801024,0.0,-109.56,-5.1,3.6,,21.8,21.6
80,10,25,801025,0.0,-109.56,-3.4,2.7,,21.87,21.78
80,10,26,801026,0.0,-109.56,-6.3,2.2,,21.6,21.84
80,10,27,801027,0.0,-109.56,-7.2,3.2,,21.52,21.73
80,10,28,801028,0.0,-109.56,-5.4,3.8,,21.72,21.75
80,10,29,801029,0.0,-109.56,-4.5,3.4,,21.61,21.74
80,10,30,801030,0.0,-109.56,-4.8,3.8,,21.73,21.8
80,10,31,801031,0.0,-109.56,-4.9,4.0,,22.07,22.26
80,11,1,801101,0.0,-109.56,-5.4,4.8,,22.18,22.92
80,11,2,801102,0.0,-109.56,-5.3,4.5,,22.64,23.24
80,11,3,801103,0.0,-109.56,-5.5,3.6,,22.65,23.62
80,11,4,801104,0.0,-109.56,-5.4,3.5,,22.77,23.88
80,11,5,801105,0.0,-109.56,-4.5,4.5,,22.68,24.22
80,11,6,801106,0.0,-109.56,-4.9,4.3,,23.41,24.53
80,11,7,801107,0.0,-109.56,-5.9,3.0,,23.32,24.58
80,11,8,801108,0.0,-109.56,-5.5,3.7,,23.04,24.59
80,11,9,801109,0.0,-109.56,-5.8,4.8,,23.03,24.5
80,11,10,801110,0.0,-109.56,-5.8,4.9,,22.84,24.23
80,11,11,801111,0.0,-109.56,-3.7,4.4,,22.37,23.11
80,11,12,801112,0.0,-109.56,-3.4,3.7,,22.18,22.08
80,11,13,801113,0.0,-109.56,-4.2,4.2,,22.31,22.4
80,11,14,801114,0.0,-109.56,-4.4,4.2,,22.74,22.6
80,11,15,801115,0.0,-109.56,-5.2,3.9,,22.8,22.8
80,11,16,801116,0.0,-109.56,-5.0,3.1,,22.9,22.91
80,11,17,801117,0.0,-109.56,-5.5,4.9,,22.64,22.73
80,11,18,801118,0.0,-109.56,-6.1,4.1,,22.54,22.57
80,11,19,801119,0.0,-109.56,-6.0,3.6,,22.57,22.56
80,11,20,801120,0.0,-109.56,-3.3,5.5,,22.51,22.41
80,11,21,801121,0.0,-109.56,-2.6,4.2,,22.46,22.53
80,11,22,801122,0.0,-109.56,-4.7,3.4,,22.67,22.7
80,11,23,801123,0.0,-109.56,-5.8,4.3,,22.76,22.81
80,11,24,801124,0.0,-109.56,-5.9,3.1,,23.22,23.09
80,11,25,801125,0.0,-109.56,-5.8,2.7,,23.64,23.62
80,11,26,801126,0.0,-109.56,-6.2,4.7,,23.68,24.54
80,11,27,801127,0.0,-109.56,-5.0,5.0,,23.55,25.09
80,11,28,801128,0.0,-109.56,-4.9,4.9,,23.32,24.7
80,11,29,801129,0.0,-109.56,-4.5,4.3,,22.96,23.64
80,11,30,801130,0.0,-109.56,-1.5,4.7,,22.44,22.17
80,12,1,801201,0.0,-109.56,-2.8,4.2,,22.09,22.02
80,12,2,801202,0.0,-109.56,-1.7,5.4,,22.47,22.2
80,12,3,801203,0.0,-109.56,-3.0,4.8,,22.73,22.39
80,12,4,801204,0.0,-109.56,-4.0,3.6,,22.62,22.55
80,12,5,801205,0.0,-109.56,-3.1,4.1,,22.91,22.66
80,12,6,801206,0.0,-109.56,-4.2,5.2,,22.85,22.69
80,12,7,801207,0.0,-109.56,-3.2,2.6,,22.97,22.81
80,12,8,801208,0.0,-109.56,-3.8,3.2,,22.98,23.0
80,12,9,801209,0.0,-109.56,-5.9,3.9,,22.84,22.9
80,12,10,801210,0.0,-109.56,-4.7,2.7,,22.86,22.86
80,12,11,801211,0.0,-109.56,-3.3,3.8,,23.1,23.16
80,12,12,801212,0.0,-109.56,-4.3,4.3,,23.25,23.16
80,12,13,801213,0.0,-109.56,-3.8,4.3,,23.15,23.32
80,12,14,801214,0.0,-109.56,-3.7,4.0,,23.23,23.86
80,12,15,801215,0.0,-109.56,-4.6,2.9,,23.96,24.86
80,12,16,801216,0.0,-109.56,-5.4,5.1,,24.53,25.72
80,12,17,801217,0.0,-109.56,-4.4,6.3,,24.45,25.25
80,12,18,801218,0.0,-109.56,-5.0,3.9,,24.1,25.16
80,12,19,801219,0.0,-109.56,-4.9,3.7,,23.72,24.65
80,12,20,801220,0.0,-109.56,-4.3,5.0,,23.53,23.52
80,12,21,801221,0.0,-109.56,-3.3,5.4,,23.15,23.03
80,12,22,801222,0.0,-109.56,-3.3,2.4,,23.22,23.13
80,12,23,801223,0.0,-109.56,-3.6,3.0,,23.21,23.35
80,12,24,801224,0.0,-109.56,-5.9,2.3,,23.46,23.43
80,12,25,801225,0.0,-109.56,-5.2,1.4,,23.17,23.26
80,12,26,801226,0.0,-109.56,-5.6,3.6,,23.33,23.15
80,12,27,801227,0.0,-109.56,-3.9,2.3,,23.19,22.92
80,12,28,801228,0.0,-109.56,-5.1,1.2,,22.94,22.87
80,12,29,801229,0.0,-109.56,-4.4,1.6,,22.71,22.78
80,12,30,801230,0.0,-109.56,-3.7,3.8,,22.77,22.69
80,12,31,801231,0.0,-109.56,-4.1,3.9,,22.9,22.68
81,1,1,810101,0.0,-109.56,-6.3,3.5,,22.63,22.58
81,1,2,810102,0.0,-109.56,-7.9,2.7,,22.55,22.47
81,1,3,810103,0.0,-109.56,-6.1,2.9,,22.35,22.39
81,1,4,810104,0.0,-109.56,-3.2,2.4,,22.62,22.52
81,1,5,810105,0.0,-109.56,-2.2,2.4,,22.77,22.69
81,1,6,810106,0.0,-109.56,-2.3,2.5,,22.87,22.6
81,1,7,810107,0.0,-109.56,-2.3,3.1,,22.63,22.42
81,1,8,810108,0.0,-109.56,-4.0,3.0,,22.38,22.27
81,1,9,810109,0.0,-109.56,-2.3,3.0,,22.57,22.39
81,1,10,810110,0.0,-109.56,-2.5,3.2,,22.8,22.56
81,1,11,810111,0.0,-109.56,-3.0,2.2,,22.75,22.47
81,1,12,810112,0.0,-109.56,-3.2,3.5,,22.68,22.44
81,1,13,810113,0.0,-109.56,-2.3,3.5,,22.7,22.41
81,1,14,810114,0.0,-109.56,-2.9,4.5,,22.53,22.28
81,1,15,810115,0.0,-109.56,-1.3,2.6,,22.79,22.58
81,1,16,810116,0.0,-109.56,-2.0,2.3,,23.04,23.0
81,1,17,810117,0.0,-109.56,-2.3,2.7,,22.96,22.92
81,1,18,810118,0.0,-109.56,-2.1,1.2,,23.05,22.92
81,1,19,810119,0.0,-109.56,-3.7,2.1,,23.07,22.88
81,1,20,810120,0.0,-109.56,-2.8,3.3,,22.92,22.81
81,1,21,810121,0.0,-109.56,-4.6,1.3,,22.86,22.83
81,1,22,810122,0.0,-109.56,-5.2,1.9,,22.81,22.95
81,1,23,810123,0.0,-109.56,-4.4,2.1,,22.8,23.05
81,1,24,810124,0.0,-109.56,-3.9,3.0,,22.74,23.12
81,1,25,810125,0.0,-109.56,-4.3,3.7,,22.75,23.02
81,1,26,810126,0.0,-109.56,-3.2,2.8,,22.58,22.57
81,1,27,810127,0.0,-109.56,-1.7,1.4,,22.92,22.96
81,1,28,810128,0.0,-109.56,-1.2,2.3,,23.09,23.13
81,1,29,810129,0.0,-109.56,-1.9,3.0,,23.25,23.12
